Sl No,City,Code
1,Agartala,IXA
2,Agatti,AGX
3,Agra,AGR
4,Ahmedabad,AMD
5,Aizawl,AJL
6,Akola,AKD
7,Allahabad / Prayagraj,IXD
8,Amritsar,ATQ
9,Aurangabad,IXU
10,Bagdogra,IXB
11,Balurghat,RGH
12,Bangalore,BLR
13,Bareilly,BEK
14,Belgaum,IXG
15,Bhavnagar,BHU
16,Bhopal,BHO
17,Bhubaneswar,BBI
18,Bhuj,BHJ
19,Bikaner,BKB
20,Bilaspur,PAB
21,Chandigarh,IXC
22,Chennai,MAA
23,Coimbatore,CJB
24,Cooch Behar,COH
25,Cuddapah,CDP
26,Daman,NMB
27,Darbhanga,DBR
28,Dehradun,DED
29,Delhi,DEL
30,Delhi Ghaziabad,HDO
31,Dharamshala,DHM
32,Dibrugarh,DIB
33,Dimapur,DMU
34,Diu,DIU
35,Durgapur,RDP
36,Gaya,GAY
37,Goa (Dabolim),GOI
38,Goa (Mopa),GOX
39,Gorakhpur,GOP
40,Guwahati,GAU
41,Gwalior,GWL
42,Hubli,HBX
43,Hyderabad,HYD
44,Imphal,IMF
45,Indore,IDR
46,Jabalpur,JLR
47,Jaipur,JAI
48,Jaisalmer,JSA
49,Jammu,IXJ
50,Jamnagar,JGA
51,Jodhpur,JDH
52,Jorhat,JRH
53,Kannur,CNN
54,Kanpur,KNU
55,Keshod,IXK
56,Khajuraho,HJR
57,Kochi,COK
58,Kolhapur,KLH
59,Kolkata,CCU
60,Kozhikode,CCJ
61,Kullu,KUU
62,Leh,IXL
63,Lilabari,IXI
64,Lucknow,LKO
65,Ludhiana,LUH
66,Madurai,IXM
67,Mangalore,IXE
68,Mumbai,BOM
69,Navi Mumbai,NMI
70,Mysuru,MYQ
71,Nagpur,NAG
72,Nanded,NDC
73,Nashik,ISK
74,Pakyong,PYG
75,Pantnagar,PGH
76,Patna,PAT
77,Pondicherry,PNY
78,Port Blair,IXZ
79,Pune,PNQ
80,Raipur,RPR
81,Rajahmundry,RJA
82,Rajkot,RAJ
83,Ranchi,IXR
84,Salem,SXV
85,Shillong,SHL
86,Shimla,SLV
87,Silchar,IXS
88,Siliguri,IXB
89,Srinagar,SXR
90,Surat,STV
91,Tezpur,TEZ
92,Thiruvananthapuram,TRV
93,Tiruchirappalli,TRZ
94,Tirupati,TIR
95,Tuticorin,TCR
96,Udaipur,UDR
97,Vadodara,BDQ
98,Varanasi,VNS
99,Vijayawada,VGA
100,Visakhapatnam,VTZ
